ITEM_ID,TAGS
B004S6VDKS,388
B00XOZHT16,503
B00GZZSYIO,314
B00O3V589K,141
B007SOTLM4,153
B00K2Z9ZIG,265
B0071PBJKW,533
B004C9A4RY,415
B00IDYGV76,487
B00JGHLMNW,96
B00KXATN2S,465
B00DDQC2LI,3
B00C0Z4CLG,462
B0035JAXPA,315
B00R551CJ6,399
B00FMTAWRK,315
B00BU9PWY4,153
B008F6G4BK,459
B0002THY1M,427
B001RTSCRQ,388
B00AKKKCP8,141
B0056K145E,96
B00OZHOTG0,236
B0018T2H26,238
B00NW9495S,527
B00WBHRMH4,124
B00WDUDNOA,489
B00H9MWZ6Y,265
B006MORIPS,141
B00GUIUI3K,489
B009AGJ0YC,96
B00P266IV2,487
B00ID7DXTW,120
B00Q5CGQFA,489
B003BYNTDC,534
B00IPQZWVS,534
B009PFZ77M,265
B00GX1SN5Y,503
B00TF7GKDK,412
B0088OZ2T4,141
B008MFN17E,141
B00485BIU4,489
B00NGOGMPE,514
B00YOM3WH8,141
B00AL0GKPS,465
B00H879BYO,388
B00028AUH8,96
B00R9XULUA,314
B00VCO9GA8,427
B0006U3HUE,265
B0013HB0L2,467
B000UXA2HS,236
B005KPL3BK,315
B00JFPKAJW,388
B00DYO5H0W,236
B00D6C2548,329
B00BV23EHW,98
B00PR4OFQ4,96
B001NSAMFQ,329
B009PHDU1A,315
B00M43CQGM,96
B00WA16556,1
B00VX9Y4HC,503
B00IY7ETUI,527
B00HU7B122,141
B002KPAWWY,3
B004XY9IAC,3
B00OK4XAR2,140
B00JKFS5KS,236
B00P8ESF1E,459
B008ENOEPW,3
B00E68XKS6,96
B00KE5Z8DU,315
B00PHRVFOQ,459
B00JW4ABEK,141
B005PPA98S,315
B00JRVVXA4,141
B00FWI8SB8,141
B00RF1S2G6,3
B00980LCRS,488
B00UB9CA1C,427
B00C8YJ3K4,315
B00794U8U2,96
B00DNQ03VO,3
B009ZRTM9O,462
B003A8VGHU,96
B003DNS8DC,238
B00FZS9CVA,141
B001UHN2MU,503
B00QURGF4C,489
B00I9VUQQU,388
B00KDJ8PGO,265
B009YAPMGE,315
B00JMXQEMY,99
B00PUWNIHA,315
B00HMG83HC,487
B008YDVRR0,315
B00HB2LUPO,408
B00RZ10RFK,329
B002P5A0WG,315
B00D3SC432,329
B00BJOI5LC,265
B00591HUF8,315
B00BA0ZTPU,378
B00HRSQ6YM,3
B00N54QWW8,315
B007V9U4OK,48
B009VR57E2,408
B006HZ0CHI,0
B00L77KFN2,315
B00FVYMERM,265
B00RMPYDF4,105
B0072D7VV4,315
B00HTWPGS8,141
B007T5M5TI,489
B00CI2BO6M,265
B003MPAGSQ,408
B0042CJJF4,153
B00Q5X5F1K,329
B0062BQPXW,48
B00O3WVN5W,301
B004CIYOXK,427
B00AEO6LIM,238
B008Q8VJHG,331
B00QNB4S1M,459
B00K8TCVKA,489
B00UL18M26,534
B0029JHQTI,329
